100		105, 110, 099, 117, 124
200		263, 217, 238, 203, 245
500		602, 625, 632, 616, 549
1000	1.205, 1.219, 1.236, 1.229, 1.242
2000	2.626, 2.458, 2.360, 2.570, 2.444
5000	6.384, 6.200, 6.224, 6.257, 6.228
10000	12.738, 12.697, 12.673, 12.851, 12.658
50000	63.856, 62.921, 63.626, 63.945, 63.611
100000 		127.525, 127.634, 126.937, 128.042, 127.231
1000000		1.273.675, 1.275.107, 1.275.067, 1.273.963, 1.277.158
100000000	127.523.503, 127.562.243, 127.533.399, 127.536.610, 127.525.954
